# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# DR       = Precipitation duration (in 0.1 hour); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   TX,   TG,   SQ,   DR,   FG
# 
  240,20190101,   91,   77,   13,   23,   76
  240,20190102,   71,   56,    4,    0,   48
  240,20190103,   68,   31,   46,    0,   23
  240,20190104,   68,   54,    0,    0,   45
  240,20190105,   81,   72,    0,    6,   65
  240,20190106,   70,   62,    0,    0,   26
  240,20190107,  101,   77,    0,    9,   68
  240,20190108,   86,   72,    2,   20,  118
  240,20190109,   72,   46,   51,    4,   55
  240,20190110,   59,   35,    0,   56,   25
  240,20190111,   90,   74,    9,   30,   50
  240,20190112,   88,   79,    0,   35,   80
  240,20190113,   99,   89,    2,   49,   95
  240,20190114,   82,   48,   29,   27,   55
  240,20190115,   89,   69,    7,    0,   75
  240,20190116,   85,   64,    0,   71,   81
  240,20190117,   60,   36,    9,   21,   54
  240,20190118,   48,    2,   52,    0,   31
  240,20190119,   25,   -8,   71,    0,   40
  240,20190120,   34,  -18,   73,    0,   20
  240,20190121,   59,  -11,   74,    0,   28
  240,20190122,   -1,  -12,    2,   54,   60
  240,20190123,    1,   -5,    7,    0,   33
  240,20190124,   -2,  -11,   10,    0,   25
  240,20190125,   87,   19,    0,   44,   51
  240,20190126,   86,   75,    0,   41,   79
  240,20190127,   75,   59,    2,  122,   84
  240,20190128,   66,   41,   26,   53,   75
  240,20190129,   42,   16,   73,    0,   47
  240,20190130,   23,    8,    0,   44,   29
  240,20190131,   10,   -6,    8,   13,   43
  240,20190201,   23,    9,    0,   32,   39
  240,20190202,   37,   23,    0,   43,   30
  240,20190203,   67,   18,   76,    0,   33
  240,20190204,   39,   20,    0,   76,   76
  240,20190205,   57,   44,    0,    0,   47
  240,20190206,   71,   52,    0,  122,   50
  240,20190207,   95,   76,   67,   64,  104
  240,20190208,   98,   79,    0,   75,  102
  240,20190209,  101,   84,   62,    2,  120
  240,20190210,   80,   61,    2,  171,   61
  240,20190211,   87,   49,   65,    2,   57
  240,20190212,   97,   58,   58,    0,   54
  240,20190213,   97,   62,   41,    0,   50
  240,20190214,  117,   51,   87,    0,   27
  240,20190215,  141,   71,   91,    0,   33
  240,20190216,  127,   64,   91,    0,   35
  240,20190217,  143,   73,   85,    0,   37
  240,20190218,  137,   79,   89,   15,   37
  240,20190219,   96,   72,   37,    0,   65
  240,20190220,  123,   76,   70,    0,   57
  240,20190221,  108,   78,    7,   17,   50
  240,20190222,  121,   89,    3,    0,   21
  240,20190223,  126,   75,   93,    0,   37
  240,20190224,  145,   70,   95,    0,   17
  240,20190225,  181,   83,   95,    0,   15
  240,20190226,  186,   92,   99,    0,   15
  240,20190227,  176,   94,   97,    0,   25
  240,20190228,  134,   75,   34,   18,   43
  240,20190301,   82,   60,    9,    0,   40
  240,20190302,  125,   83,   30,    5,   59
  240,20190303,  120,  110,    0,  109,  103
  240,20190304,  122,   84,   53,   14,  115
  240,20190305,  100,   72,   76,    3,   72
  240,20190306,  108,   94,    0,   79,   68
  240,20190307,  117,   90,   56,   86,  112
  240,20190308,   99,   77,   58,   33,   84
  240,20190309,  113,   86,   29,   30,   98
  240,20190310,   95,   56,    0,  113,   65
  240,20190311,   86,   53,   59,   10,  102
  240,20190312,   90,   66,    0,   45,  101
  240,20190313,   95,   77,   11,   29,  113
  240,20190314,  110,   81,   18,   69,  101
  240,20190315,  127,   92,   18,   36,   90
  240,20190316,  113,   97,    7,   72,  119
  240,20190317,  101,   69,   77,   44,   90
  240,20190318,   93,   53,   67,    4,   55
  240,20190319,  120,   56,   64,    0,   28
  240,20190320,  130,   96,   28,   10,   47
  240,20190321,   99,   81,    0,    0,   34
  240,20190322,  158,   88,   60,    0,   30
  240,20190323,  119,   78,   24,    0,   33
  240,20190324,  105,   57,   77,    0,   36
  240,20190325,   98,   75,   57,   11,   90
  240,20190326,  104,   73,   30,    0,   41
  240,20190327,  129,   90,   71,    0,   34
  240,20190328,  104,   81,    0,    4,   19
  240,20190329,  171,   93,  110,    0,   13
  240,20190330,  173,  106,   96,    0,   23
  240,20190331,  113,   83,   86,    0,   64
  240,20190401,  141,   81,  119,    0,   48
  240,20190402,  154,   96,   38,   14,   48
  240,20190403,  104,   58,   43,   25,   36
  240,20190404,  107,   60,   22,    0,   30
  240,20190405,  120,   78,  108,    0,   35
  240,20190406,  135,  101,   24,    0,   37
  240,20190407,  212,  148,  113,    0,   38
  240,20190408,  198,  139,  109,    0,   48
  240,20190409,  137,   93,  116,    0,   73
  240,20190410,  101,   63,  125,    0,   70
  240,20190411,  102,   66,  106,    0,   50
  240,20190412,   95,   61,   77,    0,   50
  240,20190413,   82,   41,  102,    0,   49
  240,20190414,  104,   59,  110,    0,   48
  240,20190415,  168,  104,  104,    0,   51
  240,20190416,  173,  121,  118,    0,   54
  240,20190417,  166,  129,   30,    0,   34
  240,20190418,  215,  161,  109,    0,   56
  240,20190419,  228,  165,  122,    0,   44
  240,20190420,  229,  168,  132,    0,   48
  240,20190421,  218,  151,  132,    0,   35
  240,20190422,  246,  177,  126,    0,   49
  240,20190423,  213,  163,  125,    0,   60
  240,20190424,  244,  169,   96,   41,   65
  240,20190425,  176,  123,   25,   20,   58
  240,20190426,  168,  122,   72,    0,   45
  240,20190427,  129,  102,   50,   33,   74
  240,20190428,  131,   93,   16,   13,   32
  240,20190429,  158,  107,   98,    0,   31
  240,20190430,  121,  104,    0,    0,   31
  240,20190501,  118,   87,   21,    0,   23
  240,20190502,  140,   95,   32,    6,   40
  240,20190503,  112,   76,   23,   49,   39
  240,20190504,  104,   59,   94,   13,   50
  240,20190505,  116,   73,   69,    5,   48
  240,20190506,  128,   76,   21,    0,   37
  240,20190507,  130,   86,   53,    8,   27
  240,20190508,  148,  102,   33,   18,   54
  240,20190509,  170,  119,  118,   27,   48
  240,20190510,  140,  102,   62,    0,   33
  240,20190511,  142,   95,  127,    0,   49
  240,20190512,  140,   93,  100,    2,   39
  240,20190513,  151,   98,  123,    0,   31
  240,20190514,  156,  112,  126,    0,   43
  240,20190515,  166,  124,  137,    0,   44
  240,20190516,  177,  122,   77,    0,   56
  240,20190517,  151,  124,   13,    0,   38
  240,20190518,  204,  145,  101,    0,   23
  240,20190519,  203,  143,   40,    0,   42
  240,20190520,  148,  125,    0,    0,   51
  240,20190521,  128,  115,    0,    0,   67
  240,20190522,  181,  131,   99,    0,   33
  240,20190523,  204,  152,  145,    0,   35
  240,20190524,  200,  140,  145,    0,   40
  240,20190525,  185,  132,   51,    0,   24
  240,20190526,  212,  160,   32,   39,   74
  240,20190527,  180,  141,  113,    0,   56
  240,20190528,  159,  116,   40,   20,   37
  240,20190529,  191,  134,  121,    0,   40
  240,20190530,  208,  168,   36,   38,   71
  240,20190531,  203,  170,   87,    0,   57
  240,20190601,  239,  185,  144,    0,   28
  240,20190602,  307,  227,  114,    1,   53
  240,20190603,  195,  165,   57,    0,   45
  240,20190604,  239,  180,   73,   12,   39
  240,20190605,  181,  152,    7,   70,   42
  240,20190606,  183,  141,   94,   34,   48
  240,20190607,  227,  154,   48,   16,   60
  240,20190608,  183,  142,   49,   43,  116
  240,20190609,  199,  153,   84,    0,   42
  240,20190610,  215,  175,   56,    8,   50
  240,20190611,  185,  151,   94,    6,   39
  240,20190612,  173,  133,    8,   46,   27
  240,20190613,  181,  141,   25,   15,   68
  240,20190614,  224,  161,   87,    7,   38
  240,20190615,  195,  153,   38,   51,   34
  240,20190616,  218,  168,  100,    2,   48
  240,20190617,  248,  186,  130,    0,   32
  240,20190618,  262,  201,  100,    0,   27
  240,20190619,  240,  187,   54,   22,   38
  240,20190620,  200,  166,   68,    5,   49
  240,20190621,  195,  155,  138,    0,   45
  240,20190622,  219,  171,  149,    0,   43
  240,20190623,  283,  225,  129,    0,   36
  240,20190624,  308,  255,  110,    0,   42
  240,20190625,  324,  253,   97,    0,   36
  240,20190626,  229,  186,   84,    0,   46
  240,20190627,  202,  165,  114,    0,   49
  240,20190628,  227,  181,  104,    0,   45
  240,20190629,  314,  234,  155,    0,   34
  240,20190630,  229,  200,  118,    0,   50
  240,20190701,  209,  180,  129,    0,   60
  240,20190702,  213,  169,  136,    0,   36
  240,20190703,  205,  149,  101,    0,   40
  240,20190704,  216,  164,  136,    0,   28
  240,20190705,  219,  180,  119,    0,   40
  240,20190706,  211,  160,   45,   29,   40
  240,20190707,  195,  144,   62,    0,   38
  240,20190708,  181,  139,   51,    7,   49
  240,20190709,  208,  151,  131,    0,   32
  240,20190710,  174,  151,    0,   64,   30
  240,20190711,  228,  184,   47,    4,   31
  240,20190712,  214,  171,    9,   43,   40
  240,20190713,  202,  167,   16,   10,   42
  240,20190714,  190,  153,   31,   11,   38
  240,20190715,  185,  152,    7,    0,   34
  240,20190716,  200,  159,   52,    0,   22
  240,20190717,  246,  182,   97,    0,   15
  240,20190718,  230,  189,   29,   19,   46
  240,20190719,  238,  188,   57,    5,   27
  240,20190720,  236,  192,   54,   37,   60
  240,20190721,  220,  188,  122,    0,   44
  240,20190722,  260,  206,  116,    0,   52
  240,20190723,  310,  243,  149,    0,   29
  240,20190724,  355,  258,  130,    0,   38
  240,20190725,  363,  286,  131,    0,   28
  240,20190726,  364,  269,  117,    7,   51
  240,20190727,  290,  219,   84,    0,   35
  240,20190728,  248,  193,   29,    0,   42
  240,20190729,  244,  197,  128,    0,   30
  240,20190730,  283,  220,  139,    0,   42
  240,20190731,  218,  181,   65,   42,   64
  240,20190801,  217,  185,   53,   18,   56
  240,20190802,  212,  187,   35,   20,   51
  240,20190803,  218,  180,   54,    0,   32
  240,20190804,  245,  197,   58,    0,   21
  240,20190805,  238,  203,   65,    0,   55
  240,20190806,  233,  192,   81,    0,   50
  240,20190807,  225,  193,  117,    9,   68
  240,20190808,  225,  190,  110,    0,   47
  240,20190809,  242,  196,   20,   29,   54
  240,20190810,  230,  198,   81,    5,  116
  240,20190811,  218,  182,   50,    0,   76
  240,20190812,  196,  161,   43,   39,   37
  240,20190813,  191,  145,   74,   32,   45
  240,20190814,  219,  161,   55,   71,   54
  240,20190815,  207,  176,   31,   22,   69
  240,20190816,  224,  174,   40,   44,   44
  240,20190817,  215,  181,   31,   25,   63
  240,20190818,  205,  169,   46,   14,   54
  240,20190819,  215,  171,  102,    4,   69
  240,20190820,  208,  163,  114,    0,   48
  240,20190821,  219,  160,   93,    0,   25
  240,20190822,  226,  170,  126,    0,   37
  240,20190823,  254,  188,  120,    0,   22
  240,20190824,  289,  216,  130,    0,   19
  240,20190825,  311,  229,  127,    0,   17
  240,20190826,  300,  242,  128,    0,   27
  240,20190827,  323,  251,  122,    2,   22
  240,20190828,  254,  217,   34,    0,   35
  240,20190829,  232,  184,   76,    0,   46
  240,20190830,  224,  173,   97,    0,   34
  240,20190831,  276,  201,   95,    4,   32
  240,20190901,  205,  160,   65,    0,   46
  240,20190902,  200,  159,  103,    7,   48
  240,20190903,  212,  174,   49,    4,   58
  240,20190904,  183,  153,   18,   33,   59
  240,20190905,  178,  139,   79,    6,   69
  240,20190906,  188,  146,   17,   28,   67
  240,20190907,  184,  146,   58,   17,   38
  240,20190908,  184,  136,   91,    0,   31
  240,20190909,  180,  131,   62,    0,   24
  240,20190910,  193,  143,   28,    0,   23
  240,20190911,  185,  156,    0,   79,   60
  240,20190912,  219,  182,   99,    0,   47
  240,20190913,  208,  169,   87,    5,   41
  240,20190914,  200,  146,  116,    0,   18
  240,20190915,  212,  160,   71,    9,   40
  240,20190916,  169,  136,    8,   75,   22
  240,20190917,  182,  132,   45,    0,   45
  240,20190918,  176,  131,   61,    0,   29
  240,20190919,  174,  130,   51,    0,   16
  240,20190920,  186,  130,  111,    0,   26
  240,20190921,  233,  164,  114,    0,   47
  240,20190922,  268,  187,   88,   16,   47
  240,20190923,  193,  162,   47,   11,   41
  240,20190924,  184,  154,    0,   49,   60
  240,20190925,  180,  156,    8,   23,   59
  240,20190926,  182,  160,    2,   66,   62
  240,20190927,  187,  155,   42,   40,   78
  240,20190928,  185,  157,   58,   19,   80
  240,20190929,  177,  153,    5,  108,   84
  240,20190930,  175,  144,   37,   59,   58
  240,20191001,  194,  151,   21,   75,   66
  240,20191002,  148,  108,   63,   27,   45
  240,20191003,  158,  115,   52,   32,   34
  240,20191004,  153,  104,    5,   71,   47
  240,20191005,  142,   97,   52,    0,   28
  240,20191006,  101,   92,    0,   80,   68
  240,20191007,  122,   98,    9,   20,   51
  240,20191008,  160,  137,   12,   47,   58
  240,20191009,  140,  115,   13,   59,   59
  240,20191010,  158,  129,   72,    4,   73
  240,20191011,  165,  147,    0,   71,   96
  240,20191012,  162,  120,    0,  178,   32
  240,20191013,  213,  157,   11,   16,   57
  240,20191014,  174,  141,   12,    5,   39
  240,20191015,  169,  148,    8,   16,   43
  240,20191016,  146,  132,   26,   90,   56
  240,20191017,  164,  128,   65,   25,   40
  240,20191018,  145,  122,   45,   12,   80
  240,20191019,  148,  118,   31,    0,   57
  240,20191020,  144,  113,    9,    0,   23
  240,20191021,  150,  119,    8,   57,   43
  240,20191022,  147,  111,   14,    5,   23
  240,20191023,  146,  110,   39,    0,   26
  240,20191024,  192,  144,   49,   10,   53
  240,20191025,  157,  137,   22,    2,   75
  240,20191026,  187,  158,   24,   40,   93
  240,20191027,  127,  100,   43,    8,   49
  240,20191028,  128,   80,   47,    5,   18
  240,20191029,  117,   71,   86,    0,   26
  240,20191030,  103,   55,   85,    0,   39
  240,20191031,   98,   43,   81,    0,   36
  240,20191101,  133,   79,    0,   75,   46
  240,20191102,  145,  128,   35,   49,   85
  240,20191103,  124,  101,   20,   46,   38
  240,20191104,  126,  103,   20,    3,   40
  240,20191105,  115,   96,    5,   44,   25
  240,20191106,  110,   84,   28,    6,   21
  240,20191107,   95,   76,    0,   50,   51
  240,20191108,   98,   56,   80,    0,   38
  240,20191109,  100,   66,   13,   51,   64
  240,20191110,   87,   32,   81,    0,   24
  240,20191111,   80,   55,    0,   63,   63
  240,20191112,   71,   52,   10,  109,   80
  240,20191113,   91,   62,    8,   43,   41
  240,20191114,   75,   56,    6,    0,   44
  240,20191115,   53,   45,    0,    0,   49
  240,20191116,   61,   44,    5,    0,   30
  240,20191117,   85,   47,   61,    0,   26
  240,20191118,   85,   66,    0,   79,   39
  240,20191119,   84,   48,   19,   33,   26
  240,20191120,   67,   21,   74,    0,   25
  240,20191121,   50,   29,   15,    0,   43
  240,20191122,  104,   66,   47,    3,   53
  240,20191123,   77,   59,    3,    0,   48
  240,20191124,   95,   62,   53,    0,   20
